timestamp,TP9,AF7,AF8,TP10,Right AUX
0.0,4.39453125,-10.25390625,-30.2734375,-10.7421875,0.0
0.0039031505584716797,-4.8828125,-21.484375,-38.0859375,-19.53125,0.0
0.007806062698364258,-7.32421875,-38.0859375,-35.64453125,-28.80859375,0.0
0.011709213256835938,-12.20703125,-39.0625,-33.69140625,-25.390625,0.0
0.015612363815307617,-13.671875,-20.5078125,-35.15625,-20.99609375,0.0
0.019515514373779297,-10.25390625,-13.671875,-42.96875,-16.11328125,0.0
0.023418426513671875,-6.8359375,-25.390625,-44.921875,-16.11328125,0.0
0.027321577072143555,-6.8359375,-41.015625,-41.50390625,-12.6953125,0.0
0.031224727630615234,-18.06640625,-35.15625,-38.0859375,-13.18359375,0.0
0.035127878189086914,-14.16015625,-23.4375,-34.66796875,-13.671875,0.0
0.03903079032897949,-7.32421875,-26.85546875,-31.25,-17.08984375,0.0
0.04293394088745117,-23.92578125,-37.59765625,-29.78515625,-22.4609375,0.0
0.046863555908203125,-27.34375,-36.62109375,-31.73828125,-23.4375,0.0
0.050766706466674805,-15.625,-40.52734375,-33.203125,-23.92578125,0.0
0.054669857025146484,-16.11328125,-34.66796875,-33.69140625,-21.484375,0.0
0.05857276916503906,-28.80859375,-26.85546875,-32.2265625,-19.04296875,0.0
0.06247591972351074,-38.0859375,-25.87890625,-30.2734375,-24.4140625,0.0
0.06637907028198242,-31.73828125,-26.85546875,-28.3203125,-14.6484375,0.0
0.070281982421875,-23.92578125,-39.0625,-26.85546875,-12.6953125,0.0
0.07418513298034668,-29.296875,-38.0859375,-29.296875,-20.99609375,0.0
0.07808828353881836,-34.66796875,-25.390625,-30.2734375,-16.11328125,0.0
0.08199143409729004,-28.80859375,-28.80859375,-28.3203125,-14.6484375,0.0
0.08589434623718262,-24.90234375,-40.0390625,-34.1796875,-12.6953125,0.0
0.0897974967956543,-34.1796875,-33.69140625,-32.71484375,-15.625,0.0
0.09374713897705078,-39.55078125,-29.78515625,-23.4375,-26.85546875,0.0
0.09765028953552246,-37.109375,-39.55078125,-20.01953125,-19.04296875,0.0
0.10155344009399414,-38.0859375,-33.203125,-20.01953125,-14.6484375,0.0
0.10545635223388672,-45.8984375,-37.109375,-32.71484375,-23.4375,0.0
0.1093595027923584,-55.17578125,-57.6171875,-38.57421875,-25.390625,0.0
0.11326265335083008,-49.8046875,-33.69140625,-27.83203125,-20.01953125,0.0
0.11716580390930176,-42.48046875,-37.109375,-28.80859375,-17.08984375,0.0
0.12106871604919434,-42.96875,-41.015625,-33.203125,-20.99609375,0.0
0.12497186660766602,-41.9921875,-13.18359375,-20.01953125,-14.16015625,0.0
0.1288750171661377,-37.59765625,-11.71875,-11.71875,-4.8828125,0.0
0.13277816772460938,-37.59765625,-15.13671875,-23.4375,-12.6953125,0.0
0.13668107986450195,-44.43359375,-19.53125,-30.2734375,-20.01953125,0.0
0.14062976837158203,-42.48046875,-24.4140625,-22.94921875,-15.625,0.0
0.1445329189300537,-31.73828125,-33.203125,-20.99609375,-6.34765625,0.0
0.1484360694885254,-26.3671875,-35.15625,-27.34375,-3.90625,0.0
